week_start,town,county,drug,signal,units_sold,drug_weight
2023-01-09,Kisumu,Kisumu,Panadol,malaria,964,0.4
2023-01-16,Kisumu,Kisumu,Panadol,malaria,1173,0.4
2023-01-23,Kisumu,Kisumu,Panadol,malaria,1199,0.4
2023-01-30,Kisumu,Kisumu,Panadol,malaria,1017,0.4
2023-02-06,Kisumu,Kisumu,Panadol,malaria,1411,0.4
2023-02-13,Kisumu,Kisumu,Panadol,malaria,1248,0.4
2023-02-20,Kisumu,Kisumu,Panadol,malaria,462,0.4
2023-02-27,Kisumu,Kisumu,Panadol,malaria,298,0.4
2023-03-06,Kisumu,Kisumu,Panadol,malaria,327,0.4
2023-03-13,Kisumu,Kisumu,Panadol,malaria,273,0.4
2023-03-20,Kisumu,Kisumu,Panadol,malaria,449,0.4
2023-03-27,Kisumu,Kisumu,Panadol,malaria,620,0.4
2023-04-03,Kisumu,Kisumu,Panadol,malaria,427,0.4
2023-04-10,Kisumu,Kisumu,Panadol,malaria,469,0.4
2023-04-17,Kisumu,Kisumu,Panadol,malaria,509,0.4
2023-04-24,Kisumu,Kisumu,Panadol,malaria,431,0.4
2023-05-01,Kisumu,Kisumu,Panadol,malaria,317,0.4
2023-05-08,Kisumu,Kisumu,Panadol,malaria,349,0.4
2023-05-15,Kisumu,Kisumu,Panadol,malaria,227,0.4
2023-05-22,Kisumu,Kisumu,Panadol,malaria,370,0.4
2023-05-29,Kisumu,Kisumu,Panadol,malaria,356,0.4
2023-06-05,Kisumu,Kisumu,Panadol,malaria,575,0.4
2023-06-12,Kisumu,Kisumu,Panadol,malaria,442,0.4
2023-06-19,Kisumu,Kisumu,Panadol,malaria,488,0.4
2023-06-26,Kisumu,Kisumu,Panadol,malaria,562,0.4
2023-07-03,Kisumu,Kisumu,Panadol,malaria,380,0.4
2023-07-10,Kisumu,Kisumu,Panadol,malaria,427,0.4
2023-07-17,Kisumu,Kisumu,Panadol,malaria,413,0.4
2023-07-24,Kisumu,Kisumu,Panadol,malaria,205,0.4
2023-07-31,Kisumu,Kisumu,Panadol,malaria,355,0.4
2023-08-07,Kisumu,Kisumu,Panadol,malaria,429,0.4
2023-08-14,Kisumu,Kisumu,Panadol,malaria,521,0.4
2023-08-21,Kisumu,Kisumu,Panadol,malaria,408,0.4
2023-08-28,Kisumu,Kisumu,Panadol,malaria,411,0.4
2023-09-04,Kisumu,Kisumu,Panadol,malaria,540,0.4
2023-09-11,Kisumu,Kisumu,Panadol,malaria,487,0.4
2023-09-18,Kisumu,Kisumu,Panadol,malaria,428,0.4
2023-09-25,Kisumu,Kisumu,Panadol,malaria,363,0.4
2023-10-02,Kisumu,Kisumu,Panadol,malaria,242,0.4
2023-10-09,Kisumu,Kisumu,Panadol,malaria,357,0.4
2023-10-16,Kisumu,Kisumu,Panadol,malaria,431,0.4
2023-10-23,Kisumu,Kisumu,Panadol,malaria,417,0.4
2023-10-30,Kisumu,Kisumu,Panadol,malaria,641,0.4
2023-11-06,Kisumu,Kisumu,Panadol,malaria,549,0.4
2023-11-13,Kisumu,Kisumu,Panadol,malaria,412,0.4
2023-11-20,Kisumu,Kisumu,Panadol,malaria,513,0.4
2023-11-27,Kisumu,Kisumu,Panadol,malaria,352,0.4
2023-12-04,Kisumu,Kisumu,Panadol,malaria,386,0.4
2023-12-11,Kisumu,Kisumu,Panadol,malaria,317,0.4
2023-12-18,Kisumu,Kisumu,Panadol,malaria,303,0.4
2023-12-25,Kisumu,Kisumu,Panadol,malaria,472,0.4
2024-01-01,Kisumu,Kisumu,Panadol,malaria,366,0.4
2024-01-08,Kisumu,Kisumu,Panadol,malaria,464,0.4
2024-01-15,Kisumu,Kisumu,Panadol,malaria,599,0.4
2024-01-22,Kisumu,Kisumu,Panadol,malaria,801,0.4
2024-01-29,Kisumu,Kisumu,Panadol,malaria,755,0.4
2024-02-05,Kisumu,Kisumu,Panadol,malaria,720,0.4
2024-02-12,Kisumu,Kisumu,Panadol,malaria,679,0.4
2024-02-19,Kisumu,Kisumu,Panadol,malaria,677,0.4
2024-02-26,Kisumu,Kisumu,Panadol,malaria,602,0.4
2024-03-04,Kisumu,Kisumu,Panadol,malaria,281,0.4
2024-03-11,Kisumu,Kisumu,Panadol,malaria,388,0.4
2024-03-18,Kisumu,Kisumu,Panadol,malaria,414,0.4
2024-03-25,Kisumu,Kisumu,Panadol,malaria,568,0.4
2024-04-01,Kisumu,Kisumu,Panadol,malaria,481,0.4
2024-04-08,Kisumu,Kisumu,Panadol,malaria,722,0.4
2024-04-15,Kisumu,Kisumu,Panadol,malaria,548,0.4
2024-04-22,Kisumu,Kisumu,Panadol,malaria,407,0.4
2024-04-29,Kisumu,Kisumu,Panadol,malaria,347,0.4
2024-05-06,Kisumu,Kisumu,Panadol,malaria,370,0.4
2024-05-13,Kisumu,Kisumu,Panadol,malaria,261,0.4
2024-05-20,Kisumu,Kisumu,Panadol,malaria,382,0.4
2024-05-27,Kisumu,Kisumu,Panadol,malaria,442,0.4
2024-06-03,Kisumu,Kisumu,Panadol,malaria,461,0.4
2024-06-10,Kisumu,Kisumu,Panadol,malaria,437,0.4
2024-06-17,Kisumu,Kisumu,Panadol,malaria,396,0.4
2024-06-24,Kisumu,Kisumu,Panadol,malaria,468,0.4
2024-07-01,Kisumu,Kisumu,Panadol,malaria,527,0.4
2024-07-08,Kisumu,Kisumu,Panadol,malaria,426,0.4
2024-07-15,Kisumu,Kisumu,Panadol,malaria,281,0.4
2024-07-22,Kisumu,Kisumu,Panadol,malaria,277,0.4
2024-07-29,Kisumu,Kisumu,Panadol,malaria,365,0.4
2024-08-05,Kisumu,Kisumu,Panadol,malaria,358,0.4
2024-08-12,Kisumu,Kisumu,Panadol,malaria,477,0.4
2024-08-19,Kisumu,Kisumu,Panadol,malaria,505,0.4
2024-08-26,Kisumu,Kisumu,Panadol,malaria,425,0.4
2024-09-02,Kisumu,Kisumu,Panadol,malaria,528,0.4
2024-09-09,Kisumu,Kisumu,Panadol,malaria,506,0.4
2024-09-16,Kisumu,Kisumu,Panadol,malaria,480,0.4
2024-09-23,Kisumu,Kisumu,Panadol,malaria,400,0.4
2024-09-30,Kisumu,Kisumu,Panadol,malaria,214,0.4
2024-10-07,Kisumu,Kisumu,Panadol,malaria,297,0.4
2024-10-14,Kisumu,Kisumu,Panadol,malaria,445,0.4
2024-10-21,Kisumu,Kisumu,Panadol,malaria,503,0.4
2024-10-28,Kisumu,Kisumu,Panadol,malaria,540,0.4
2024-11-04,Kisumu,Kisumu,Panadol,malaria,809,0.4
2024-11-11,Kisumu,Kisumu,Panadol,malaria,544,0.4
2024-11-18,Kisumu,Kisumu,Panadol,malaria,546,0.4
2024-11-25,Kisumu,Kisumu,Panadol,malaria,472,0.4
2024-12-02,Kisumu,Kisumu,Panadol,malaria,379,0.4
2024-12-09,Kisumu,Kisumu,Panadol,malaria,257,0.4
2024-12-16,Kisumu,Kisumu,Panadol,malaria,384,0.4
2024-12-23,Kisumu,Kisumu,Panadol,malaria,365,0.4
2024-12-30,Kisumu,Kisumu,Panadol,malaria,333,0.4
2023-01-02,Kisumu,Kisumu,Flagyl,gi,105,0.85
2023-01-09,Kisumu,Kisumu,Flagyl,gi,82,0.85
2023-01-16,Kisumu,Kisumu,Flagyl,gi,143,0.85
2023-01-23,Kisumu,Kisumu,Flagyl,gi,122,0.85
2023-01-30,Kisumu,Kisumu,Flagyl,gi,159,0.85
2023-02-06,Kisumu,Kisumu,Flagyl,gi,129,0.85
2023-02-13,Kisumu,Kisumu,Flagyl,gi,118,0.85
2023-02-20,Kisumu,Kisumu,Flagyl,gi,92,0.85
2023-02-27,Kisumu,Kisumu,Flagyl,gi,88,0.85
2023-03-06,Kisumu,Kisumu,Flagyl,gi,89,0.85
2023-03-13,Kisumu,Kisumu,Flagyl,gi,80,0.85
2023-03-20,Kisumu,Kisumu,Flagyl,gi,80,0.85
2023-03-27,Kisumu,Kisumu,Flagyl,gi,109,0.85
2023-04-03,Kisumu,Kisumu,Flagyl,gi,149,0.85
2023-04-10,Kisumu,Kisumu,Flagyl,gi,170,0.85
2023-04-17,Kisumu,Kisumu,Flagyl,gi,119,0.85
2023-04-24,Kisumu,Kisumu,Flagyl,gi,96,0.85
2023-05-01,Kisumu,Kisumu,Flagyl,gi,108,0.85
2023-05-08,Kisumu,Kisumu,Flagyl,gi,102,0.85
2023-05-15,Kisumu,Kisumu,Flagyl,gi,91,0.85
2023-05-22,Kisumu,Kisumu,Flagyl,gi,131,0.85
2023-05-29,Kisumu,Kisumu,Flagyl,gi,117,0.85
2023-06-05,Kisumu,Kisumu,Flagyl,gi,156,0.85
2023-06-12,Kisumu,Kisumu,Flagyl,gi,123,0.85
2023-06-19,Kisumu,Kisumu,Flagyl,gi,252,0.85
2023-06-26,Kisumu,Kisumu,Flagyl,gi,222,0.85
2023-07-03,Kisumu,Kisumu,Flagyl,gi,207,0.85
2023-07-10,Kisumu,Kisumu,Flagyl,gi,202,0.85
2023-07-17,Kisumu,Kisumu,Flagyl,gi,176,0.85
2023-07-24,Kisumu,Kisumu,Flagyl,gi,141,0.85
2023-07-31,Kisumu,Kisumu,Flagyl,gi,91,0.85
2023-08-07,Kisumu,Kisumu,Flagyl,gi,132,0.85
2023-08-14,Kisumu,Kisumu,Flagyl,gi,164,0.85
2023-08-21,Kisumu,Kisumu,Flagyl,gi,122,0.85
2023-08-28,Kisumu,Kisumu,Flagyl,gi,128,0.85
2023-09-04,Kisumu,Kisumu,Flagyl,gi,142,0.85
2023-09-11,Kisumu,Kisumu,Flagyl,gi,184,0.85
2023-09-18,Kisumu,Kisumu,Flagyl,gi,115,0.85
2023-09-25,Kisumu,Kisumu,Flagyl,gi,114,0.85
2023-10-02,Kisumu,Kisumu,Flagyl,gi,103,0.85
2023-10-09,Kisumu,Kisumu,Flagyl,gi,105,0.85
2023-10-16,Kisumu,Kisumu,Flagyl,gi,129,0.85
2023-10-23,Kisumu,Kisumu,Flagyl,gi,136,0.85
2023-10-30,Kisumu,Kisumu,Flagyl,gi,152,0.85
2023-11-06,Kisumu,Kisumu,Flagyl,gi,114,0.85
2023-11-13,Kisumu,Kisumu,Flagyl,gi,136,0.85
2023-11-20,Kisumu,Kisumu,Flagyl,gi,134,0.85
2023-11-27,Kisumu,Kisumu,Flagyl,gi,122,0.85
2023-12-04,Kisumu,Kisumu,Flagyl,gi,117,0.85
2023-12-11,Kisumu,Kisumu,Flagyl,gi,90,0.85
2023-12-18,Kisumu,Kisumu,Flagyl,gi,82,0.85
2023-12-25,Kisumu,Kisumu,Flagyl,gi,124,0.85
2024-01-01,Kisumu,Kisumu,Flagyl,gi,86,0.85
2024-01-08,Kisumu,Kisumu,Flagyl,gi,102,0.85
2024-01-15,Kisumu,Kisumu,Flagyl,gi,117,0.85
2024-01-22,Kisumu,Kisumu,Flagyl,gi,130,0.85
2024-01-29,Kisumu,Kisumu,Flagyl,gi,103,0.85
2024-02-05,Kisumu,Kisumu,Flagyl,gi,459,0.85
2024-02-12,Kisumu,Kisumu,Flagyl,gi,307,0.85
2024-02-19,Kisumu,Kisumu,Flagyl,gi,418,0.85
2024-02-26,Kisumu,Kisumu,Flagyl,gi,246,0.85
2024-03-04,Kisumu,Kisumu,Flagyl,gi,614,0.85
2024-03-11,Kisumu,Kisumu,Flagyl,gi,1007,0.85
2024-03-18,Kisumu,Kisumu,Flagyl,gi,288,0.85
2024-03-25,Kisumu,Kisumu,Flagyl,gi,359,0.85
2024-04-01,Kisumu,Kisumu,Flagyl,gi,540,0.85
2024-04-08,Kisumu,Kisumu,Flagyl,gi,489,0.85
2024-04-15,Kisumu,Kisumu,Flagyl,gi,216,0.85
2024-04-22,Kisumu,Kisumu,Flagyl,gi,83,0.85
2024-04-29,Kisumu,Kisumu,Flagyl,gi,137,0.85
2024-05-06,Kisumu,Kisumu,Flagyl,gi,128,0.85
2024-05-13,Kisumu,Kisumu,Flagyl,gi,105,0.85
2024-05-20,Kisumu,Kisumu,Flagyl,gi,90,0.85
2024-05-27,Kisumu,Kisumu,Flagyl,gi,120,0.85
2024-06-03,Kisumu,Kisumu,Flagyl,gi,134,0.85
2024-06-10,Kisumu,Kisumu,Flagyl,gi,102,0.85
2024-06-17,Kisumu,Kisumu,Flagyl,gi,138,0.85
2024-06-24,Kisumu,Kisumu,Flagyl,gi,153,0.85
2024-07-01,Kisumu,Kisumu,Flagyl,gi,139,0.85
2024-07-08,Kisumu,Kisumu,Flagyl,gi,95,0.85
2024-07-15,Kisumu,Kisumu,Flagyl,gi,87,0.85
2024-07-22,Kisumu,Kisumu,Flagyl,gi,94,0.85
2024-07-29,Kisumu,Kisumu,Flagyl,gi,109,0.85
2024-08-05,Kisumu,Kisumu,Flagyl,gi,75,0.85
2024-08-12,Kisumu,Kisumu,Flagyl,gi,79,0.85
2024-08-19,Kisumu,Kisumu,Flagyl,gi,130,0.85
2024-08-26,Kisumu,Kisumu,Flagyl,gi,123,0.85
2024-09-02,Kisumu,Kisumu,Flagyl,gi,126,0.85
2024-09-09,Kisumu,Kisumu,Flagyl,gi,117,0.85
2024-09-16,Kisumu,Kisumu,Flagyl,gi,130,0.85
2024-09-23,Kisumu,Kisumu,Flagyl,gi,101,0.85
2024-09-30,Kisumu,Kisumu,Flagyl,gi,87,0.85
2024-10-07,Kisumu,Kisumu,Flagyl,gi,80,0.85
2024-10-14,Kisumu,Kisumu,Flagyl,gi,56,0.85
2024-10-21,Kisumu,Kisumu,Flagyl,gi,146,0.85
2024-10-28,Kisumu,Kisumu,Flagyl,gi,174,0.85
2024-11-04,Kisumu,Kisumu,Flagyl,gi,127,0.85
2024-11-11,Kisumu,Kisumu,Flagyl,gi,137,0.85
2024-11-18,Kisumu,Kisumu,Flagyl,gi,131,0.85
2024-11-25,Kisumu,Kisumu,Flagyl,gi,142,0.85
2024-12-02,Kisumu,Kisumu,Flagyl,gi,113,0.85
2024-12-09,Kisumu,Kisumu,Flagyl,gi,90,0.85
2024-12-16,Kisumu,Kisumu,Flagyl,gi,100,0.85
2024-12-23,Kisumu,Kisumu,Flagyl,gi,115,0.85
2024-12-30,Kisumu,Kisumu,Flagyl,gi,78,0.85
2023-01-02,Kisumu,Kisumu,ORS,gi,156,0.8
2023-01-09,Kisumu,Kisumu,ORS,gi,148,0.8
2023-01-16,Kisumu,Kisumu,ORS,gi,164,0.8
2023-01-23,Kisumu,Kisumu,ORS,gi,196,0.8
2023-01-30,Kisumu,Kisumu,ORS,gi,217,0.8
2023-02-06,Kisumu,Kisumu,ORS,gi,230,0.8
2023-02-13,Kisumu,Kisumu,ORS,gi,254,0.8
2023-02-20,Kisumu,Kisumu,ORS,gi,214,0.8
2023-02-27,Kisumu,Kisumu,ORS,gi,162,0.8
2023-03-06,Kisumu,Kisumu,ORS,gi,140,0.8
2023-03-13,Kisumu,Kisumu,ORS,gi,141,0.8
2023-03-20,Kisumu,Kisumu,ORS,gi,189,0.8
2023-03-27,Kisumu,Kisumu,ORS,gi,199,0.8
2023-04-03,Kisumu,Kisumu,ORS,gi,231,0.8
2023-04-10,Kisumu,Kisumu,ORS,gi,196,0.8
2023-04-17,Kisumu,Kisumu,ORS,gi,237,0.8
2023-04-24,Kisumu,Kisumu,ORS,gi,256,0.8
2023-05-01,Kisumu,Kisumu,ORS,gi,186,0.8
2023-05-08,Kisumu,Kisumu,ORS,gi,176,0.8
2023-05-15,Kisumu,Kisumu,ORS,gi,154,0.8
2023-05-22,Kisumu,Kisumu,ORS,gi,156,0.8
2023-05-29,Kisumu,Kisumu,ORS,gi,196,0.8
2023-06-05,Kisumu,Kisumu,ORS,gi,208,0.8
2023-06-12,Kisumu,Kisumu,ORS,gi,223,0.8
2023-06-19,Kisumu,Kisumu,ORS,gi,198,0.8
2023-06-26,Kisumu,Kisumu,ORS,gi,221,0.8
2023-07-03,Kisumu,Kisumu,ORS,gi,223,0.8
2023-07-10,Kisumu,Kisumu,ORS,gi,231,0.8
2023-07-17,Kisumu,Kisumu,ORS,gi,190,0.8
2023-07-24,Kisumu,Kisumu,ORS,gi,185,0.8
2023-07-31,Kisumu,Kisumu,ORS,gi,147,0.8
2023-08-07,Kisumu,Kisumu,ORS,gi,214,0.8
2023-08-14,Kisumu,Kisumu,ORS,gi,214,0.8
2023-08-21,Kisumu,Kisumu,ORS,gi,292,0.8
2023-08-28,Kisumu,Kisumu,ORS,gi,197,0.8
2023-09-04,Kisumu,Kisumu,ORS,gi,192,0.8
2023-09-11,Kisumu,Kisumu,ORS,gi,189,0.8
2023-09-18,Kisumu,Kisumu,ORS,gi,129,0.8
2023-09-25,Kisumu,Kisumu,ORS,gi,153,0.8
2023-10-02,Kisumu,Kisumu,ORS,gi,124,0.8
2023-10-09,Kisumu,Kisumu,ORS,gi,170,0.8
2023-10-16,Kisumu,Kisumu,ORS,gi,199,0.8
2023-10-23,Kisumu,Kisumu,ORS,gi,266,0.8
2023-10-30,Kisumu,Kisumu,ORS,gi,251,0.8
2023-11-06,Kisumu,Kisumu,ORS,gi,205,0.8
2023-11-13,Kisumu,Kisumu,ORS,gi,190,0.8
2023-11-20,Kisumu,Kisumu,ORS,gi,223,0.8
2023-11-27,Kisumu,Kisumu,ORS,gi,152,0.8
2023-12-04,Kisumu,Kisumu,ORS,gi,212,0.8
2023-12-11,Kisumu,Kisumu,ORS,gi,499,0.8
2023-12-18,Kisumu,Kisumu,ORS,gi,467,0.8
2023-12-25,Kisumu,Kisumu,ORS,gi,426,0.8
2024-01-01,Kisumu,Kisumu,ORS,gi,604,0.8
2024-01-08,Kisumu,Kisumu,ORS,gi,563,0.8
2024-01-15,Kisumu,Kisumu,ORS,gi,746,0.8
2024-01-22,Kisumu,Kisumu,ORS,gi,167,0.8
2024-01-29,Kisumu,Kisumu,ORS,gi,204,0.8
2024-02-05,Kisumu,Kisumu,ORS,gi,220,0.8
2024-02-12,Kisumu,Kisumu,ORS,gi,209,0.8
2024-02-19,Kisumu,Kisumu,ORS,gi,177,0.8
2024-02-26,Kisumu,Kisumu,ORS,gi,181,0.8
2024-03-04,Kisumu,Kisumu,ORS,gi,118,0.8
2024-03-11,Kisumu,Kisumu,ORS,gi,162,0.8
2024-03-18,Kisumu,Kisumu,ORS,gi,193,0.8
2024-03-25,Kisumu,Kisumu,ORS,gi,224,0.8
2024-04-01,Kisumu,Kisumu,ORS,gi,421,0.8
2024-04-08,Kisumu,Kisumu,ORS,gi,322,0.8
2024-04-15,Kisumu,Kisumu,ORS,gi,293,0.8
2024-04-22,Kisumu,Kisumu,ORS,gi,429,0.8
2024-04-29,Kisumu,Kisumu,ORS,gi,344,0.8
2024-05-06,Kisumu,Kisumu,ORS,gi,255,0.8
2024-05-13,Kisumu,Kisumu,ORS,gi,173,0.8
2024-05-20,Kisumu,Kisumu,ORS,gi,169,0.8
2024-05-27,Kisumu,Kisumu,ORS,gi,223,0.8
2024-06-03,Kisumu,Kisumu,ORS,gi,210,0.8
2024-06-10,Kisumu,Kisumu,ORS,gi,288,0.8
2024-06-17,Kisumu,Kisumu,ORS,gi,283,0.8
2024-06-24,Kisumu,Kisumu,ORS,gi,212,0.8
2024-07-01,Kisumu,Kisumu,ORS,gi,238,0.8
2024-07-08,Kisumu,Kisumu,ORS,gi,208,0.8
2024-07-15,Kisumu,Kisumu,ORS,gi,200,0.8
2024-07-22,Kisumu,Kisumu,ORS,gi,120,0.8
2024-07-29,Kisumu,Kisumu,ORS,gi,183,0.8
2024-08-05,Kisumu,Kisumu,ORS,gi,219,0.8
2024-08-12,Kisumu,Kisumu,ORS,gi,153,0.8
2024-08-19,Kisumu,Kisumu,ORS,gi,181,0.8
2024-08-26,Kisumu,Kisumu,ORS,gi,155,0.8
2024-09-02,Kisumu,Kisumu,ORS,gi,211,0.8
2024-09-09,Kisumu,Kisumu,ORS,gi,230,0.8
2024-09-16,Kisumu,Kisumu,ORS,gi,232,0.8
2024-09-23,Kisumu,Kisumu,ORS,gi,168,0.8
2024-09-30,Kisumu,Kisumu,ORS,gi,174,0.8
2024-10-07,Kisumu,Kisumu,ORS,gi,132,0.8
2024-10-14,Kisumu,Kisumu,ORS,gi,141,0.8
2024-10-21,Kisumu,Kisumu,ORS,gi,206,0.8
2024-10-28,Kisumu,Kisumu,ORS,gi,233,0.8
2024-11-04,Kisumu,Kisumu,ORS,gi,223,0.8
2024-11-11,Kisumu,Kisumu,ORS,gi,152,0.8
2024-11-18,Kisumu,Kisumu,ORS,gi,205,0.8
2024-11-25,Kisumu,Kisumu,ORS,gi,152,0.8
2024-12-02,Kisumu,Kisumu,ORS,gi,183,0.8
